x,y,height,faa,inv_msk,inv_pad
-1749000.0,-449000.0,1500,-4.039104164336983,False,False
-1747000.0,-449000.0,1500,-3.396160584821218,False,False
-1745000.0,-449000.0,1500,-3.0728243168622686,False,False
-1743000.0,-449000.0,1500,-2.912058364443346,False,False
-1741000.0,-449000.0,1500,-2.8018542621494364,False,False
-1739000.0,-449000.0,1500,-2.706182914525104,False,False
-1737000.0,-449000.0,1500,-2.6973510590468774,False,False
-1735000.0,-449000.0,1500,-2.931105041408825,False,False
-1733000.0,-449000.0,1500,-3.5533854632507555,False,False
-1731000.0,-449000.0,1500,-4.638633794876075,False,False
-1729000.0,-449000.0,1500,-6.182517984244663,False,False
-1727000.0,-449000.0,1500,-8.05580669556224,False,False
-1725000.0,-449000.0,1500,-9.990486249986416,False,False
-1723000.0,-449000.0,1500,-11.716048976650391,False,False
-1721000.0,-449000.0,1500,-13.060201959390136,False,False
-1719000.0,-449000.0,1500,-13.877228284422984,False,False
-1717000.0,-449000.0,1500,-14.05465566571886,False,False
-1715000.0,-449000.0,1500,-13.5324833411253,False,False
-1713000.0,-449000.0,1500,-12.335083600317846,False,False
-1711000.0,-449000.0,1500,-10.669316873148999,False,False
-1709000.0,-449000.0,1500,-8.852223155755288,False,False
-1707000.0,-449000.0,1500,-7.2092452756436085,False,False
-1705000.0,-449000.0,1500,-6.034284846612514,False,False
-1703000.0,-449000.0,1500,-5.418060032529038,False,False
-1701000.0,-449000.0,1500,-5.096126574728659,False,False
-1699000.0,-449000.0,1500,-4.6653831900053815,False,False
-1697000.0,-449000.0,1500,-3.921221982724069,False,False
-1695000.0,-449000.0,1500,-2.922277347268386,False,False
-1693000.0,-449000.0,1500,-1.8462636232521865,False,False
-1691000.0,-449000.0,1500,-0.9118127987533053,False,False
-1689000.0,-449000.0,1500,-0.38845246743186745,False,False
-1687000.0,-449000.0,1500,-0.5359374532414948,False,False
-1685000.0,-449000.0,1500,-1.5674390615864373,False,False
-1683000.0,-449000.0,1500,-3.609824855952651,False,False
-1681000.0,-449000.0,1500,-6.607056422048369,False,False
-1679000.0,-449000.0,1500,-10.336650973045561,False,False
-1677000.0,-449000.0,1500,-14.464007932652958,False,False
-1675000.0,-449000.0,1500,-18.576340183288043,False,False
-1673000.0,-449000.0,1500,-22.36269148976782,False,False
-1671000.0,-449000.0,1500,-25.775260714972184,False,False
-1669000.0,-449000.0,1500,-28.87010417733938,False,False
-1667000.0,-449000.0,1500,-31.624217098606948,False,False
-1665000.0,-449000.0,1500,-33.90032467810223,False,False
-1663000.0,-449000.0,1500,-35.496864228697774,False,False
-1661000.0,-449000.0,1500,-36.208976467974274,False,False
-1659000.0,-449000.0,1500,-35.87157621128659,False,False
-1657000.0,-449000.0,1500,-34.51360536081744,False,False
-1655000.0,-449000.0,1500,-32.41164469847164,False,False
-1653000.0,-449000.0,1500,-29.95345949830625,False,False
-1651000.0,-449000.0,1500,-27.606228659297756,False,False
-1649000.0,-449000.0,1500,-25.893206945490455,False,False
-1647000.0,-449000.0,1500,-25.11682130715682,False,False
-1645000.0,-449000.0,1500,-25.29278137662646,False,False
-1643000.0,-449000.0,1500,-26.231551119117146,False,False
-1641000.0,-449000.0,1500,-27.409146217066148,False,False
-1639000.0,-449000.0,1500,-28.184437219680063,False,False
