x,y,height,faa,inv_msk,inv_pad,stdev
-1747500.0,-447500.0,1500,-3.947289928441344,False,False,10.06210620537067
-1742500.0,-447500.0,1500,-3.5286215628250153,False,False,9.561645902455986
-1737500.0,-447500.0,1500,-3.418608067769627,False,False,9.14337460376941
-1732500.0,-447500.0,1500,-4.495445205991473,False,False,9.116100618871041
-1727500.0,-447500.0,1500,-8.261674677330406,False,False,9.560279877231697
-1722500.0,-447500.0,1500,-12.577387443448764,False,False,10.259923952604435
-1717500.0,-447500.0,1500,-14.11716880994324,False,False,10.845906325733306
-1712500.0,-447500.0,1500,-11.980875648878925,False,False,11.017465106728546
-1707500.0,-447500.0,1500,-7.845049780536751,False,False,10.577446702312386
-1702500.0,-447500.0,1500,-5.715216675870973,False,False,9.415550614085141
-1697500.0,-447500.0,1500,-5.188773168918519,False,False,7.825232778748052
-1692500.0,-447500.0,1500,-3.305273523866685,False,False,6.883117277033731
-1687500.0,-447500.0,1500,-2.1844833477436816,False,False,7.407979142408131
-1682500.0,-447500.0,1500,-5.671593516146308,False,False,8.556754744765252
-1677500.0,-447500.0,1500,-14.065694089045266,False,False,9.089735134363572
-1672500.0,-447500.0,1500,-22.652459479963245,False,False,8.972440788041354
-1667500.0,-447500.0,1500,-29.132389627869333,False,False,8.723075852614983
-1662500.0,-447500.0,1500,-33.62533429869394,False,False,8.453531857377989
-1657500.0,-447500.0,1500,-33.77006729005344,False,False,8.016141541691452
-1652500.0,-447500.0,1500,-29.358216178353548,False,False,7.611098069517094
-1647500.0,-447500.0,1500,-25.596716657289676,False,False,7.446122309734049
-1642500.0,-447500.0,1500,-26.152680339502044,False,False,6.7648263377191284
-1637500.0,-447500.0,1500,-26.24360647941108,False,False,6.00341113212665
-1632500.0,-447500.0,1500,-23.75115916390855,False,False,6.7360600802588015
-1627500.0,-447500.0,1500,-19.051701241060037,False,False,7.349936767701028
-1622500.0,-447500.0,1500,-12.611164010322216,False,False,6.728371296786861
-1617500.0,-447500.0,1500,-10.693865691747376,False,False,5.841407070323465
-1612500.0,-447500.0,1500,-15.046517121227872,False,True,5.187317497766984
-1607500.0,-447500.0,1500,-16.38299953135328,False,True,4.485849883011847
-1602500.0,-447500.0,1500,-9.500398792781965,False,True,4.385530932347079
-1597500.0,-447500.0,1500,-2.4167168898041385,False,True,4.39161389476654
-1592500.0,-447500.0,1500,-3.4003131779577123,True,True,4.143328521451023
-1587500.0,-447500.0,1500,-12.06172237996006,True,True,4.6469344150769025
-1582500.0,-447500.0,1500,-20.591253933550796,True,True,4.966387477083314
-1577500.0,-447500.0,1500,-23.787519358442818,True,True,4.421621371530123
-1572500.0,-447500.0,1500,-23.766162542901185,True,True,3.795863706682918
-1567500.0,-447500.0,1500,-22.92851663073775,True,True,4.030822589272414
-1562500.0,-447500.0,1500,-20.83152676724339,True,True,3.9883665894042597
-1557500.0,-447500.0,1500,-17.744376437715996,True,True,3.797144791893389
