x,y,height,faa,inv_msk,inv_pad,stdev
-1749000.0,-449000.0,1500,-4.04507946996159,False,False,10.27716422096815
-1747000.0,-449000.0,1500,-3.37877912873519,False,False,10.154061228796099
-1745000.0,-449000.0,1500,-3.046863061818877,False,False,10.03095823662405
-1743000.0,-449000.0,1500,-2.887719759149875,False,False,9.805812270689664
-1741000.0,-449000.0,1500,-2.774756426919498,False,False,9.580666304755278
-1739000.0,-449000.0,1500,-2.6589224548581765,False,False,9.375304790714923
-1737000.0,-449000.0,1500,-2.620473445313556,False,False,9.189727728568602
-1735000.0,-449000.0,1500,-2.8399176328160656,False,False,9.004150666422278
-1733000.0,-449000.0,1500,-3.474077123209691,False,False,9.00162231876739
-1731000.0,-449000.0,1500,-4.575261125553533,False,False,8.999093971112506
-1729000.0,-449000.0,1500,-6.111310294987766,False,False,9.109716576142246
-1727000.0,-449000.0,1500,-7.957214913893549,False,False,9.333490133856609
-1725000.0,-449000.0,1500,-9.878872838937156,False,False,9.557263691570972
-1723000.0,-449000.0,1500,-11.626952856746529,False,False,9.870695231531771
-1721000.0,-449000.0,1500,-13.007907872796062,False,False,10.18412677149257
-1719000.0,-449000.0,1500,-13.838636020504934,False,False,10.458648330930677
-1717000.0,-449000.0,1500,-13.999540546411058,False,False,10.694259909846089
-1715000.0,-449000.0,1500,-13.455854237947245,False,False,10.929871488761503
-1713000.0,-449000.0,1500,-12.25216769969242,False,False,10.98734633467912
-1711000.0,-449000.0,1500,-10.590248640844358,False,False,11.04482118059674
-1709000.0,-449000.0,1500,-8.770548820945478,False,False,10.974712989026346
-1707000.0,-449000.0,1500,-7.1081717108722176,False,False,10.777021759967939
-1705000.0,-449000.0,1500,-5.89745749917205,False,False,10.579330530909536
-1703000.0,-449000.0,1500,-5.242090954943683,False,False,10.066471110679975
-1701000.0,-449000.0,1500,-4.904381979316244,False,False,9.553611690450419
-1699000.0,-449000.0,1500,-4.505348969317853,False,False,8.92591157104352
-1697000.0,-449000.0,1500,-3.8311760459525717,False,False,8.183370752459277
-1695000.0,-449000.0,1500,-2.896745701170501,False,False,7.440829933875035
-1693000.0,-449000.0,1500,-1.8412879338961279,False,False,6.985664686436617
-1691000.0,-449000.0,1500,-0.879158379326384,False,False,6.530499438998198
-1689000.0,-449000.0,1500,-0.299895446718289,False,False,6.5412023171952915
-1687000.0,-449000.0,1500,-0.3973931210297329,False,False,7.017773321027897
-1685000.0,-449000.0,1500,-1.426757070974155,False,False,7.494344324860501
-1683000.0,-449000.0,1500,-3.5266728524193107,False,False,8.064842209796746
-1681000.0,-449000.0,1500,-6.594807791085572,False,False,8.635340094732989
