x,y,height,faa,inv_msk,inv_pad
772500.0,1907500.0,1500,-75.21038597658395,False,False
777500.0,1907500.0,1500,-68.80692819508585,False,False
782500.0,1907500.0,1500,-65.25415821332965,False,False
787500.0,1907500.0,1500,-63.578656630525714,False,False
792500.0,1907500.0,1500,-61.76325808902125,False,False
797500.0,1907500.0,1500,-58.59939931696161,False,False
802500.0,1907500.0,1500,-55.358568674079095,False,False
807500.0,1907500.0,1500,-49.131254080732454,False,False
812500.0,1907500.0,1500,-41.14702652017274,False,False
817500.0,1907500.0,1500,-39.47334415713465,False,False
822500.0,1907500.0,1500,-40.29901905006955,False,False
827500.0,1907500.0,1500,-36.91577363313043,False,False
832500.0,1907500.0,1500,-31.214930257868218,False,False
837500.0,1907500.0,1500,-23.91301160477933,False,False
842500.0,1907500.0,1500,-15.601161913495968,False,False
847500.0,1907500.0,1500,-9.581291627217652,False,False
-102500.0,1912500.0,1500,54.36319553683053,False,False
-97500.0,1912500.0,1500,79.1270613842041,False,False
-92500.0,1912500.0,1500,27.904828516913074,False,False
-87500.0,1912500.0,1500,-50.73594081695273,False,False
-82500.0,1912500.0,1500,-48.84972119787969,False,False
-77500.0,1912500.0,1500,-31.571134408723616,False,False
-72500.0,1912500.0,1500,-54.38070429534398,False,False
-67500.0,1912500.0,1500,-77.15342569322141,False,False
-62500.0,1912500.0,1500,-71.99214888395254,False,False
-57500.0,1912500.0,1500,-63.76041030728227,False,False
-52500.0,1912500.0,1500,-70.55813677617375,False,False
-47500.0,1912500.0,1500,-76.67128965558317,False,False
-42500.0,1912500.0,1500,-60.97640519313257,False,False
-37500.0,1912500.0,1500,-36.61326092177499,False,False
-32500.0,1912500.0,1500,-27.21449263795533,False,False
-27500.0,1912500.0,1500,-23.670318422974812,False,False
-22500.0,1912500.0,1500,-15.073397443005188,False,False
-17500.0,1912500.0,1500,-6.122117886186619,False,False
-12500.0,1912500.0,1500,-0.7198122650357994,False,False
-7500.0,1912500.0,1500,6.313713976024486,False,False
632500.0,1912500.0,1500,-3.8467594744446716,False,False
637500.0,1912500.0,1500,-1.3796415737065224,False,False
642500.0,1912500.0,1500,-8.808298096494916,False,False
647500.0,1912500.0,1500,-23.76039653816032,False,False
652500.0,1912500.0,1500,-34.34391860721852,False,False
657500.0,1912500.0,1500,-35.438014819346144,False,False
662500.0,1912500.0,1500,-32.66750437068409,False,False
667500.0,1912500.0,1500,-27.985613774888556,False,False
672500.0,1912500.0,1500,-30.190571606646326,False,False
677500.0,1912500.0,1500,-44.777492543734716,False,False
682500.0,1912500.0,1500,-55.62619378559039,False,False
687500.0,1912500.0,1500,-56.333544078771084,False,False
692500.0,1912500.0,1500,-54.33681597551918,False,False
697500.0,1912500.0,1500,-55.12422165615356,False,False
702500.0,1912500.0,1500,-55.462206970482285,False,False
707500.0,1912500.0,1500,-58.20270088991775,False,False
712500.0,1912500.0,1500,-65.80357298238593,False,False
717500.0,1912500.0,1500,-73.57990787793727,False,False
722500.0,1912500.0,1500,-79.30530257082033,False,False
727500.0,1912500.0,1500,-81.6375438368075,False,False
732500.0,1912500.0,1500,-80.00178946146771,False,False
737500.0,1912500.0,1500,-77.44679863913363,False,False
742500.0,1912500.0,1500,-76.87199446318202,False,False
747500.0,1912500.0,1500,-77.48597286629908,False,False
752500.0,1912500.0,1500,-79.73694926353642,False,False
757500.0,1912500.0,1500,-84.84017961356633,False,False
762500.0,1912500.0,1500,-89.11768801704012,False,False
767500.0,1912500.0,1500,-88.87197179960356,False,False
772500.0,1912500.0,1500,-84.0073659809231,False,False
777500.0,1912500.0,1500,-77.71845798447112,False,False
782500.0,1912500.0,1500,-73.38999705774512,False,False
787500.0,1912500.0,1500,-71.75472829833845,False,False
792500.0,1912500.0,1500,-71.67629219787263,False,False
797500.0,1912500.0,1500,-69.34051137112978,False,False
802500.0,1912500.0,1500,-63.65639652530887,False,False
807500.0,1912500.0,1500,-55.090543996079916,False,False
812500.0,1912500.0,1500,-45.59918940049674,False,False
817500.0,1912500.0,1500,-40.80476469317883,False,False
822500.0,1912500.0,1500,-38.801649764084566,False,False
827500.0,1912500.0,1500,-34.81073512734759,False,False
832500.0,1912500.0,1500,-28.885804176677606,False,False
837500.0,1912500.0,1500,-20.922776359423096,False,False
842500.0,1912500.0,1500,-12.075609046007482,False,False
847500.0,1912500.0,1500,-6.438994060193676,False,False
-102500.0,1917500.0,1500,34.02151649432502,False,False
-97500.0,1917500.0,1500,33.06950852756366,False,False
-92500.0,1917500.0,1500,23.067354794016268,False,False
-87500.0,1917500.0,1500,-49.10305183699709,False,False
-82500.0,1917500.0,1500,-57.79793800039652,False,False
-77500.0,1917500.0,1500,-28.115368070544598,False,False
-72500.0,1917500.0,1500,-34.89148170130347,False,False
-67500.0,1917500.0,1500,-67.77738444214543,False,False
-62500.0,1917500.0,1500,-96.07048835622243,False,False
-57500.0,1917500.0,1500,-100.74561148899618,False,False
-52500.0,1917500.0,1500,-78.93449232491099,False,False
-47500.0,1917500.0,1500,-55.43898149255712,False,False
-42500.0,1917500.0,1500,-33.12947798962163,False,False
-37500.0,1917500.0,1500,-17.66830615278009,False,False
-32500.0,1917500.0,1500,-22.837661502811276,False,False
-27500.0,1917500.0,1500,-29.43342030833275,False,False
-22500.0,1917500.0,1500,-23.165434637220784,False,False
-17500.0,1917500.0,1500,-15.284884478111648,False,False
-12500.0,1917500.0,1500,-7.028058818426115,False,False
-7500.0,1917500.0,1500,2.319095679996181,False,False
-2500.0,1917500.0,1500,1.9277978986895645,False,False
627500.0,1917500.0,1500,-11.597956831114008,False,False
632500.0,1917500.0,1500,-0.8962274545980958,False,False
637500.0,1917500.0,1500,5.141106496760711,False,False
642500.0,1917500.0,1500,-3.4360891706850523,False,False
647500.0,1917500.0,1500,-20.15111849403092,False,False
652500.0,1917500.0,1500,-30.78960958765942,False,False
657500.0,1917500.0,1500,-36.9288117459516,False,False
662500.0,1917500.0,1500,-40.70066124812495,False,False
667500.0,1917500.0,1500,-43.420267916446974,False,False
672500.0,1917500.0,1500,-47.69950527602857,False,False
677500.0,1917500.0,1500,-54.4014588056984,False,False
682500.0,1917500.0,1500,-59.35493427078083,False,False
687500.0,1917500.0,1500,-57.958830892302785,False,False
692500.0,1917500.0,1500,-55.2893182561045,False,False
697500.0,1917500.0,1500,-55.429559765891405,False,False
702500.0,1917500.0,1500,-53.61948357632444,False,False
707500.0,1917500.0,1500,-53.8321927985617,False,False
712500.0,1917500.0,1500,-60.22121931376568,False,False
717500.0,1917500.0,1500,-66.98090633479552,False,False
722500.0,1917500.0,1500,-70.40014272106038,False,False
727500.0,1917500.0,1500,-71.45621966188297,False,False
732500.0,1917500.0,1500,-70.06003424018026,False,False
737500.0,1917500.0,1500,-66.28638176189973,False,False
742500.0,1917500.0,1500,-64.40127448053086,False,False
747500.0,1917500.0,1500,-65.42974807608353,False,False
752500.0,1917500.0,1500,-70.0047858946833,False,False
757500.0,1917500.0,1500,-78.56663982596329,False,False
762500.0,1917500.0,1500,-86.63733066519832,False,False
767500.0,1917500.0,1500,-89.41194373241727,False,False
772500.0,1917500.0,1500,-86.90977189612113,False,False
777500.0,1917500.0,1500,-83.07688462940735,False,False
782500.0,1917500.0,1500,-79.49946148782085,False,False
787500.0,1917500.0,1500,-77.31077611873646,False,False
792500.0,1917500.0,1500,-77.85084117146641,False,False
797500.0,1917500.0,1500,-76.68008554550082,False,False
802500.0,1917500.0,1500,-71.48957734345014,False,False
807500.0,1917500.0,1500,-63.162429074294614,False,False
812500.0,1917500.0,1500,-52.492304135734145,False,False
817500.0,1917500.0,1500,-44.338137809517185,False,False
822500.0,1917500.0,1500,-39.487861539901616,False,True
827500.0,1917500.0,1500,-34.74938145953635,False,False
832500.0,1917500.0,1500,-28.966088405147488,False,False
837500.0,1917500.0,1500,-20.25542107792649,False,False
842500.0,1917500.0,1500,-10.767227037438035,False,False
847500.0,1917500.0,1500,-5.1165612983600255,False,False
-142500.0,1922500.0,1500,-28.246861524112262,False,False
-137500.0,1922500.0,1500,7.559864286481492,False,False
-132500.0,1922500.0,1500,43.83514014318416,False,False
-102500.0,1922500.0,1500,40.21206532427252,False,False
-97500.0,1922500.0,1500,10.866235875898784,False,False
-92500.0,1922500.0,1500,4.535183906943747,False,False
-87500.0,1922500.0,1500,-41.7113024911262,False,False
-82500.0,1922500.0,1500,-65.82109342643332,False,False
-77500.0,1922500.0,1500,-27.15839679569749,False,False
-72500.0,1922500.0,1500,-7.6320004597103335,False,False
-67500.0,1922500.0,1500,-37.57916277359833,False,False
-62500.0,1922500.0,1500,-92.57908385192592,False,False
-57500.0,1922500.0,1500,-119.13656078843731,False,False
-52500.0,1922500.0,1500,-82.27137870172645,False,False
-47500.0,1922500.0,1500,-38.58715915491859,False,False
-42500.0,1922500.0,1500,-18.230743684046484,False,False
-37500.0,1922500.0,1500,-12.624214250060817,False,False
-32500.0,1922500.0,1500,-22.69425907199565,False,False
-27500.0,1922500.0,1500,-27.720000443124626,False,False
-22500.0,1922500.0,1500,-23.845293345455186,False,False
-17500.0,1922500.0,1500,-27.027804620981385,False,False
-12500.0,1922500.0,1500,-19.380202248586198,False,False
-7500.0,1922500.0,1500,-4.1868951924725515,False,False
-2500.0,1922500.0,1500,0.9840137323623688,False,False
627500.0,1922500.0,1500,-9.181830226529497,False,False
632500.0,1922500.0,1500,0.5160050696626883,False,False
637500.0,1922500.0,1500,3.8537570558447296,False,False
642500.0,1922500.0,1500,-3.2396365521410164,False,False
647500.0,1922500.0,1500,-14.677153988068442,False,False
652500.0,1922500.0,1500,-25.27650392365477,False,False
657500.0,1922500.0,1500,-35.880639300806706,False,False
662500.0,1922500.0,1500,-44.499356599392634,False,False
667500.0,1922500.0,1500,-49.68813363803235,False,False
672500.0,1922500.0,1500,-53.242050895150555,False,False
677500.0,1922500.0,1500,-54.95657364005969,False,False
682500.0,1922500.0,1500,-54.317085604722415,False,False
687500.0,1922500.0,1500,-53.49228096295349,False,False
692500.0,1922500.0,1500,-54.03348441460492,False,False
697500.0,1922500.0,1500,-53.12679743000578,False,False
702500.0,1922500.0,1500,-49.41085235205405,False,False
707500.0,1922500.0,1500,-48.498383606029925,False,False
712500.0,1922500.0,1500,-53.47161984035251,False,False
717500.0,1922500.0,1500,-58.88594380092606,False,False
722500.0,1922500.0,1500,-61.065089464941906,False,False
727500.0,1922500.0,1500,-61.152037538604255,False,False
732500.0,1922500.0,1500,-58.81704652733593,False,False
737500.0,1922500.0,1500,-53.946862601813294,False,False
742500.0,1922500.0,1500,-49.860221856620086,False,False
747500.0,1922500.0,1500,-48.244022317449584,False,False
752500.0,1922500.0,1500,-52.6903033644067,False,False
757500.0,1922500.0,1500,-64.14573902366266,False,False
762500.0,1922500.0,1500,-75.12520629145178,False,False
767500.0,1922500.0,1500,-80.59906846417269,False,False
772500.0,1922500.0,1500,-81.83089402046417,False,False
777500.0,1922500.0,1500,-82.56248267200344,False,False
782500.0,1922500.0,1500,-83.07325377488036,False,False
787500.0,1922500.0,1500,-82.53413965831852,False,False
792500.0,1922500.0,1500,-81.80365232422501,False,False
797500.0,1922500.0,1500,-79.54374691398124,False,False
802500.0,1922500.0,1500,-75.76389149933011,False,False
807500.0,1922500.0,1500,-70.03546128939327,False,False
812500.0,1922500.0,1500,-60.61447627306626,False,True
817500.0,1922500.0,1500,-51.382296346829925,False,True
822500.0,1922500.0,1500,-44.564221948884146,False,True
827500.0,1922500.0,1500,-38.00898623161879,False,True
832500.0,1922500.0,1500,-30.041116023095068,False,True
837500.0,1922500.0,1500,-19.50480662046131,False,True
