x,y,height,faa,inv_msk,inv_pad,stdev
-1047500.0,-1377500.0,1500,-79.75200912740387,False,False,15.46186244249011
-1042500.0,-1377500.0,1500,-84.66094366092145,False,False,15.461216933853127
-1037500.0,-1377500.0,1500,-87.41134419410848,False,False,15.460557200873923
-1032500.0,-1377500.0,1500,-86.7511918501071,False,False,15.45989148075683
-1027500.0,-1377500.0,1500,-84.03916440334666,False,False,15.459241280012819
-1022500.0,-1377500.0,1500,-82.3131142550758,False,False,15.458618295637628
-1017500.0,-1377500.0,1500,-83.25392086329639,False,False,15.458045485002101
-1012500.0,-1377500.0,1500,-83.30975692438173,False,False,15.457542869509643
-1007500.0,-1377500.0,1500,-82.0745736969736,False,False,15.457118816958978
-1002500.0,-1377500.0,1500,-81.34885791806846,False,False,15.456758379678655
-997500.0,-1377500.0,1500,-77.92352283110095,False,False,15.45647337143051
-992500.0,-1377500.0,1500,-71.84714039296377,False,False,15.456259582750551
-987500.0,-1377500.0,1500,-67.20875422419698,False,False,15.456097599966462
-982500.0,-1377500.0,1500,-62.522433430923854,False,False,15.45587516466372
-977500.0,-1377500.0,1500,-57.40034679263041,False,False,15.455476251697744
-972500.0,-1377500.0,1500,-60.96833996219944,False,False,15.454868306657145
-967500.0,-1377500.0,1500,-73.76255415294688,False,False,15.45399748334623
-962500.0,-1377500.0,1500,-86.71905238718817,False,False,15.452780937342625
-957500.0,-1377500.0,1500,-95.4018447889356,False,False,15.451182541937797
-952500.0,-1377500.0,1500,-99.42164405518726,False,False,15.449200457491063
-947500.0,-1377500.0,1500,-102.58929116424254,False,False,15.446760698470625
-942500.0,-1377500.0,1500,-106.59767653624957,False,False,15.443831111018053
-937500.0,-1377500.0,1500,-107.8595299376784,False,False,15.44044867634159
-932500.0,-1377500.0,1500,-105.28564171965806,False,False,15.436590684464644
-927500.0,-1377500.0,1500,-102.94380717395931,False,False,15.432195177249957
-922500.0,-1377500.0,1500,-102.22799747920732,False,False,15.427243412943664
-917500.0,-1377500.0,1500,-100.289546912696,False,False,15.421785289539294
-912500.0,-1377500.0,1500,-95.95150590182078,False,False,15.41583790644314
-907500.0,-1377500.0,1500,-93.25288112940748,False,False,15.409372892291165
-902500.0,-1377500.0,1500,-95.07630326140078,False,False,15.40236505790249
