x,y,height,faa,inv_msk,inv_pad,stdev
-797500.0,1352500.0,1500,-40.26499011526721,False,False,3.4224925359922413
-792500.0,1352500.0,1500,-38.506638177885705,False,False,4.136586429613691
-787500.0,1352500.0,1500,-35.57262211928259,False,False,5.17722124380829
-782500.0,1352500.0,1500,-32.35704954785857,False,False,6.78071896394723
-777500.0,1352500.0,1500,-30.319602979652462,False,False,7.49287971838319
-772500.0,1352500.0,1500,-29.403812778142324,False,False,5.08670508179379
-767500.0,1352500.0,1500,-32.905093844533994,False,False,4.617536423499186
-762500.0,1352500.0,1500,-38.93587680398167,False,False,4.393886376902743
-757500.0,1352500.0,1500,-41.61838007980095,False,False,2.9729053334511155
-752500.0,1352500.0,1500,-42.12224782998832,False,False,5.440888770408126
-747500.0,1352500.0,1500,-42.421595699088456,False,False,5.503606855933457
-742500.0,1352500.0,1500,-38.81641150597021,False,False,4.872823153891422
-737500.0,1352500.0,1500,-34.69874692237901,False,False,5.362978615737667
-732500.0,1352500.0,1500,-43.49784418163403,False,False,3.982186177031497
-727500.0,1352500.0,1500,-52.0449122537403,False,False,4.677581031287661
-722500.0,1352500.0,1500,-53.32817206065858,False,False,4.172606930670167
-717500.0,1352500.0,1500,-56.68645996652699,False,False,4.691501971351965
-712500.0,1352500.0,1500,-60.21653018867784,False,False,6.167013236661462
-707500.0,1352500.0,1500,-65.09789736943367,False,False,5.6264700136973405
-702500.0,1352500.0,1500,-66.08979854412725,False,False,5.5054316150949845
-697500.0,1352500.0,1500,-65.89061705987856,False,False,4.925541768944964
-692500.0,1352500.0,1500,-72.10079499976585,False,True,4.988536821751685
-687500.0,1352500.0,1500,-70.54486956687435,False,True,4.937728602660305
-682500.0,1352500.0,1500,-63.628362687549455,False,True,5.047175446061006
-677500.0,1352500.0,1500,-56.33258114061683,False,True,5.440047332305017
-672500.0,1352500.0,1500,-44.72518025182697,False,True,4.852569442174888
-667500.0,1352500.0,1500,-39.48785456265953,False,True,4.361557848254117
-662500.0,1352500.0,1500,-34.60989251314041,False,False,4.08971629189084
-657500.0,1352500.0,1500,-24.840873537957695,False,False,3.8100847785779366
-652500.0,1352500.0,1500,-18.602408255552806,False,False,3.584641831946507
-647500.0,1352500.0,1500,-15.782789667104325,False,False,3.710122735516376
-642500.0,1352500.0,1500,-9.914086741236048,False,False,4.743185674784282
-637500.0,1352500.0,1500,-5.273146973992067,False,False,5.715721704250484
-632500.0,1352500.0,1500,-3.222720218607965,False,False,6.1348064419056705
-627500.0,1352500.0,1500,1.708643529746069,False,False,6.3402241394921255
-622500.0,1352500.0,1500,4.766251886113805,False,False,6.927791831829029
-617500.0,1352500.0,1500,3.62638843335084,False,False,7.953076464794361
-612500.0,1352500.0,1500,4.36985398268568,False,False,8.865702797294214
-607500.0,1352500.0,1500,10.879573526616525,False,False,9.34070998508395
-602500.0,1352500.0,1500,20.47093990483305,False,False,9.34441608320628
-597500.0,1352500.0,1500,28.548036536364897,False,False,9.060137058774634
-592500.0,1352500.0,1500,36.22265220429242,False,False,8.710651956785059
-587500.0,1352500.0,1500,42.40807913206444,False,False,8.344691380591582
-582500.0,1352500.0,1500,46.82379329161038,False,False,7.962122468167742
-577500.0,1352500.0,1500,53.33763650013106,False,False,7.535038031642797
-572500.0,1352500.0,1500,62.39927624899123,False,False,7.097885909198803
-497500.0,1352500.0,1500,-25.645639142644235,False,False,6.383062248733151
-492500.0,1352500.0,1500,-34.62326604951478,False,False,6.913510787885356
-487500.0,1352500.0,1500,-36.960449738218486,False,False,7.361780678142109
-482500.0,1352500.0,1500,-37.080840346738555,False,False,7.7296631444099795
-477500.0,1352500.0,1500,-34.39922365255781,False,False,8.02952899554094
-472500.0,1352500.0,1500,-29.636179052984005,False,False,8.270454020758006
-797500.0,1357500.0,1500,-37.03760853793481,False,False,4.8216854102070625
-792500.0,1357500.0,1500,-36.683448945861585,False,False,4.083862834555358
-787500.0,1357500.0,1500,-34.48611383410459,False,False,3.857611540944119
-782500.0,1357500.0,1500,-31.413723686985524,False,False,4.770235920555927
-777500.0,1357500.0,1500,-30.189790401802973,False,False,6.143646058987392
-772500.0,1357500.0,1500,-30.991957915637162,False,False,4.868536131109116
-767500.0,1357500.0,1500,-32.54748151952549,False,False,4.255403111165286
-762500.0,1357500.0,1500,-34.516966331230854,False,False,4.161311797400655
-757500.0,1357500.0,1500,-35.61481326097767,False,False,3.4767114796459877
-752500.0,1357500.0,1500,-36.226737690719716,False,False,6.126707244433449
-747500.0,1357500.0,1500,-39.12954936854567,False,False,6.5833621603049455
-742500.0,1357500.0,1500,-40.080477047908275,False,False,5.210192586324197
-737500.0,1357500.0,1500,-35.54880460506544,False,False,5.189928273455475
-732500.0,1357500.0,1500,-40.77040506862799,False,False,4.037524564797735
-727500.0,1357500.0,1500,-49.140973110583296,False,False,4.514331581891538
-722500.0,1357500.0,1500,-51.629734334072396,False,False,4.590533394222512
-717500.0,1357500.0,1500,-55.56928996760557,False,False,4.703069449139066
-712500.0,1357500.0,1500,-60.23865192036719,False,False,6.623378876258589
-707500.0,1357500.0,1500,-65.07928779955385,False,False,6.363509614883271
-702500.0,1357500.0,1500,-64.92608346046828,False,False,5.468540450308192
-697500.0,1357500.0,1500,-63.03477278172635,False,True,4.9257767439967255
-692500.0,1357500.0,1500,-68.79058833468483,False,True,4.948075559046436
-687500.0,1357500.0,1500,-67.00749094008857,False,True,4.307042845560097
-682500.0,1357500.0,1500,-59.106614781305325,False,True,4.052651890238125
-677500.0,1357500.0,1500,-55.42624690364025,False,True,5.084913358833701
-672500.0,1357500.0,1500,-49.48422244514471,False,True,5.03236655230671
-667500.0,1357500.0,1500,-46.39403389664109,False,True,4.494733555109372
-662500.0,1357500.0,1500,-40.44794623369642,False,True,4.471243699013496
-657500.0,1357500.0,1500,-30.73400443766326,False,False,4.190646160707527
-652500.0,1357500.0,1500,-25.05714622259703,False,False,3.974940682778095
-647500.0,1357500.0,1500,-20.588172937062918,False,False,4.614715934075923
-642500.0,1357500.0,1500,-12.19924498222533,False,False,5.754888269803461
-637500.0,1357500.0,1500,-4.016869074314051,False,False,6.350258634140793
-632500.0,1357500.0,1500,0.7380494007478896,False,False,6.4924755731923
-627500.0,1357500.0,1500,4.4522884828814515,False,False,6.527252084393318
-622500.0,1357500.0,1500,5.981382137597216,False,False,6.780103983201523
-617500.0,1357500.0,1500,5.530909201267046,False,False,7.50895396908469
-612500.0,1357500.0,1500,6.070405618163059,False,False,8.49459630750907
-607500.0,1357500.0,1500,9.831185655452746,False,False,9.068644036880585
-602500.0,1357500.0,1500,17.730545272236643,False,False,8.717663529069176
