x,y,height,faa,inv_msk,inv_pad,stdev
-2197500.0,252500.0,1500,48.63620738419967,False,False,6.960502167425214
-2192500.0,252500.0,1500,45.22021572273803,False,False,5.983620601495651
-2187500.0,252500.0,1500,41.91624791084263,False,False,5.516662156405631
-2182500.0,252500.0,1500,39.21202609346524,False,False,5.616593531673747
-2177500.0,252500.0,1500,36.11483663758432,False,False,5.78355838962538
-2172500.0,252500.0,1500,32.99128540718495,False,False,5.924279465824325
-2167500.0,252500.0,1500,30.381886741763843,False,False,6.090664274534603
-2162500.0,252500.0,1500,26.178992109179227,False,False,6.657095334895663
-2157500.0,252500.0,1500,21.114186252000216,False,False,7.689897561125429
-2152500.0,252500.0,1500,16.381888112605854,False,False,8.475153093500873
-2147500.0,252500.0,1500,11.35630715447415,False,False,8.83199521297637
-2142500.0,252500.0,1500,6.463124313358916,False,False,8.899545230378951
-2137500.0,252500.0,1500,2.147028688365076,False,False,8.735473002176615
-2132500.0,252500.0,1500,-2.086856364235495,False,False,8.512217094827543
-2127500.0,252500.0,1500,-5.55793670782311,False,False,8.402613060888374
-2122500.0,252500.0,1500,-7.790828436096252,False,False,8.490996088329943
-2117500.0,252500.0,1500,-9.957181067323281,False,False,8.751807005736197
-2112500.0,252500.0,1500,-12.015875244202718,False,False,9.00546569325725
-2107500.0,252500.0,1500,-14.12154505788795,False,False,9.044886966971534
-2102500.0,252500.0,1500,-17.345088984170904,False,False,8.860974141347917
-2097500.0,252500.0,1500,-20.708657222494693,False,False,8.63372813442198
-2092500.0,252500.0,1500,-23.632720962588834,False,False,8.522504290941765
-2087500.0,252500.0,1500,-26.118647658412442,False,False,8.414433861307964
-2082500.0,252500.0,1500,-27.266975332520225,False,False,7.638332443579098
-2077500.0,252500.0,1500,-27.055395821186977,False,False,6.193886929630302
-2072500.0,252500.0,1500,-25.25382661591216,False,False,5.544470601515039
-2067500.0,252500.0,1500,-21.555985811057475,False,False,6.7117444021165165
-2062500.0,252500.0,1500,-17.24333889666358,False,False,8.488118405440385
-2057500.0,252500.0,1500,-13.613265254607233,False,False,9.273398522339345
-2052500.0,252500.0,1500,-11.362598907210305,False,False,9.185263187034103
-2047500.0,252500.0,1500,-10.543779089713373,False,False,8.891687451342383
-2042500.0,252500.0,1500,-11.146130402701349,False,False,8.582202924156311
-2037500.0,252500.0,1500,-13.035339551020892,False,False,8.047696701980502
-2032500.0,252500.0,1500,-14.728432188053326,False,False,7.458034276651759
